timestamp,request_id,agent_success,dijkstra_success,agent_hops,dijkstra_hops,agent_latency,agent_uplink,agent_downlink,agent_reliability,agent_cpu,agent_power,dijkstra_latency,dijkstra_uplink,dijkstra_downlink,dijkstra_reliability,dijkstra_cpu,dijkstra_power
1761796639.805731,req_eps8ntwzc,True,True,4,4,47.20978106887007,0.26,0.38,0.8331192953175575,4,3,47.20978106887007,0.26,0.38,0.8331192953175575,4,3
1761796639.8641632,req_35wvmva91,True,True,1,1,8.48335479535739,0.15,0.47,0.8821432928407376,2,2,8.48335479535739,0.15,0.47,0.8821432928407376,2,2
1761796639.975279,req_6rk0eg71k,True,True,1,1,8.95955536431569,1.84,1.47,0.7925148833811596,14,16,8.95955536431569,1.84,1.47,0.7925148833811596,14,16
1761796640.073165,req_gnai4j4gv,True,True,1,1,10.404781503262742,2.62,12.91,0.823186796261763,7,13,8.69169979457295,2.62,12.91,0.8755515988079435,7,13
1761796640.1911302,req_1lnzwopch,True,True,1,1,5.628517694754255,0.19,0.3,0.9776274255387413,3,3,5.628517694754255,0.19,0.3,0.9776274255387413,3,3
1761796640.2878551,req_rbfhgbx1n,True,True,1,1,6.999377350292664,0.1,0.16,0.930551754257418,1,4,6.999377350292664,0.1,0.16,0.930551754257418,1,4
1761796640.421421,req_x4ilezy8i,True,True,1,1,6.194770088686177,1.94,14.55,0.9579001603530373,19,56,6.194770088686177,1.94,14.55,0.9579001603530373,19,56
1761796640.536105,req_8dhopm0wz,True,True,1,1,5.539686982505311,2.61,13.24,0.9807587900331203,22,39,5.539686982505311,2.61,13.24,0.9807587900331203,22,39
1761796640.640901,req_c5d7m8neh,True,True,1,1,7.382553535937564,19.31,91.68,0.9178035332868397,32,55,7.382553535937564,19.31,91.68,0.9178035332868397,32,55
1761796640.77296,req_2g4nrxmhc,True,True,1,1,10.41477120190051,2.78,16.73,0.8228908075194223,20,39,9.13816469625749,2.78,16.73,0.8615915771039225,20,39
1761796640.883479,req_gshbk2wyt,True,True,1,1,5.496172421615741,0.14,0.24,0.9306591251234791,4,9,5.496172421615741,0.14,0.24,0.9306591251234791,4,9
1761796640.986086,req_zvv8aklgh,True,True,1,1,8.616447608879916,1.28,9.7,0.8779267527687059,19,43,8.616447608879916,1.28,9.7,0.8779267527687059,19,43
1761796641.13211,req_hlbl0as8q,True,True,4,4,38.63091909422928,0.16,0.3,0.8462285689593005,4,6,37.47881701184097,0.16,0.3,0.872326424026963,4,6
1761796641.243419,req_e34lpepuy,True,True,1,1,4.352338655242165,0.23,0.38,0.9697817899669258,2,5,4.352338655242165,0.23,0.38,0.9697817899669258,2,5
1761796641.370079,req_jlddechdv,True,True,1,1,10.205510824010966,0.11,0.07,0.8291133603871921,1,4,10.205510824010966,0.11,0.07,0.8291133603871921,1,4
1761796641.56218,req_5xpmka5z5,True,True,5,4,97.75951872324677,0.22,0.21,0.7810946512720541,2,8,38.55270590388282,0.22,0.21,0.8016580831195681,2,8
1761796641.704103,req_upu1jnjfz,True,True,4,4,70.10377884538354,12.15,62.56,0.8793500236960546,45,53,47.68446290948542,12.15,62.56,0.8245694362978856,45,53
1761796641.8223062,req_y1n9ivhbp,True,True,3,3,28.446280073857036,1.57,9.76,0.8481005339821391,30,31,28.446280073857036,1.57,9.76,0.8481005339821391,30,31
1761796641.923846,req_wdqidnxlj,True,True,1,1,6.704052800704109,7.79,37.27,0.9404978645178941,42,61,6.704052800704109,7.79,37.27,0.9404978645178941,42,61
1761796641.999943,req_d5zwebqb6,True,True,1,1,7.260738460057402,0.24,0.28,0.9218372545012093,3,3,7.260738460057402,0.24,0.28,0.9218372545012093,3,3
1761796642.0105002,req_s85y2k85w,True,True,1,1,6.066058586621923,2.42,11.56,0.9623489991590369,20,40,6.066058586621923,2.42,11.56,0.9623489991590369,20,40
1761796642.105933,req_j9l4zzd60,True,True,1,1,9.042067881619325,1.25,14.56,0.8645774022540338,31,29,7.93101309621216,1.25,14.56,0.8998596507191967,31,29
1761796642.2295191,req_sb7b3m1xg,True,True,3,3,56.388087091798326,5.63,46.38,0.9006300563692492,35,53,22.86291686557731,5.63,46.38,0.8784153820756279,35,53
1761796642.3475368,req_djzz58972,True,True,3,3,53.03948126676522,2.6,8.45,0.6868572559612062,30,43,53.03948126676522,2.6,8.45,0.6868572559612062,30,43
1761796642.453413,req_augiey5hz,True,True,1,1,11.116329350540079,2.76,5.71,0.8023680536536554,17,20,11.116329350540079,2.76,5.71,0.8023680536536554,17,20
1761796642.580044,req_td96cmy0a,True,True,1,1,8.566448588867658,2.41,6.63,0.8795084129900889,12,26,8.566448588867658,2.41,6.63,0.8795084129900889,12,26
1761796642.702257,req_5j1q0rl3e,True,True,1,1,11.881853649881,0.5,0.11,0.7395253397237374,2,10,11.881853649881,0.5,0.11,0.7395253397237374,2,10
1761796642.8127658,req_p5rqhjn7r,True,True,1,1,7.561138217064505,6.12,32.54,0.9119218568892254,29,62,7.561138217064505,6.12,32.54,0.9119218568892254,29,62
1761796642.9387221,req_547hkbe7r,True,True,1,1,7.4241063022747715,0.24,0.41,0.916431617739184,2,4,7.4241063022747715,0.24,0.41,0.916431617739184,2,4
1761796643.053767,req_vnhdjdkay,True,True,1,1,9.15761405770036,4.4,14.45,0.8609885216353755,14,35,7.867851974948814,4.4,14.45,0.9019080798988316,14,35
