timestamp,request_id,agent_success,dijkstra_success,agent_hops,dijkstra_hops,agent_latency,agent_uplink,agent_downlink,agent_reliability,agent_cpu,agent_power,dijkstra_latency,dijkstra_uplink,dijkstra_downlink,dijkstra_reliability,dijkstra_cpu,dijkstra_power
1761798340.5629408,req_3kuw5bwj4,True,True,1,1,6.871800219475186,1.38,1.13,0.8543752252156859,12,10,6.871800219475186,1.38,1.13,0.8543752252156859,12,10
1761798341.891438,req_sti3yiv8z,True,True,1,1,7.5863137937062675,1.97,9.46,0.9110957376007259,32,36,6.974105447205212,1.97,9.46,0.9313987447851736,32,36
1761798341.941822,req_boqbh1xvt,True,True,1,1,10.09144309928313,1.84,9.21,0.8325250632504297,13,17,8.340322696820254,1.84,9.21,0.8866973004553996,13,17
1761798341.991869,req_x9u214ytq,True,True,1,1,11.38483294041822,5.46,54.6,0.7946496241181252,26,68,8.396217694438542,5.46,54.6,0.8849148644175777,26,68
1761798342.039773,req_rh7d4yuu6,True,True,1,1,9.241889697727053,2.47,19.29,0.8583803072830426,6,37,5.851814502637467,2.47,19.29,0.9698000894310191,6,37
1761798342.089387,req_vas6yg4yh,True,True,1,1,12.000073623185191,18.28,20.97,0.7772426780352777,24,79,10.431531219472305,18.28,20.97,0.8223944573553816,24,79
1761798342.1397948,req_5j7qpi7kt,True,True,1,1,5.265973500804801,15.15,38.48,0.9904706487647077,22,79,5.265973500804801,15.15,38.48,0.9904706487647077,22,79
1761798342.1877508,req_i9bljkm6v,True,True,1,1,8.777741721014259,1.51,6.62,0.8728437654771486,17,27,7.985047480921416,1.51,6.62,0.89811091107605,17,27
1761798342.239978,req_cvucgegya,True,True,1,1,7.246126950813444,2.63,9.43,0.9223222816640061,15,40,7.246126950813444,2.63,9.43,0.9223222816640061,15,40
1761798342.28946,req_xssf0eqrs,True,True,1,1,6.206379148241972,0.42,0.1,0.9071661590519764,3,10,6.206379148241972,0.42,0.1,0.9071661590519764,3,10
1761798342.342658,req_t1n4yfea0,True,True,1,1,6.47761534013294,6.26,61.23,0.9481959002474449,21,40,6.47761534013294,6.26,61.23,0.9481959002474449,21,40
1761798342.392826,req_sq5bn7xku,True,True,1,1,6.405739711688117,2.45,8.22,0.9506525555462499,28,53,5.930574819448825,2.45,8.22,0.967054240578902,28,53
1761798342.443317,req_xmvrzg4ly,True,True,1,1,8.442784778615524,6.73,57.78,0.8834326226116271,24,46,7.360097951903034,6.73,57.78,0.9185457865828607,24,46
1761798342.4953852,req_ycu62dgna,True,True,1,1,9.582459760328303,2.46,12.6,0.8479203696010474,22,39,7.760142049917032,2.46,12.6,0.905412069228371,22,39
1761798342.540542,req_xwwsanngk,True,True,1,1,11.064320211434008,3.01,5.95,0.8038717579107237,5,21,8.934736241160156,3.01,5.95,0.8679245390478871,5,21
1761798342.595822,req_jssuat4x2,True,True,1,1,12.85249333963477,10.43,38.52,0.7537535959341722,49,58,7.287992831514446,10.43,38.52,0.9209332306501093,49,58
1761798342.651962,req_l5gft011x,True,True,5,3,66.31843653189993,9.75,95.4,0.7887890709046671,48,54,32.08098030160617,9.75,95.4,0.8627328987335572,48,54
1761798342.688977,req_b4eiu1gai,True,True,1,1,10.59329422649841,12.28,63.83,0.8176191871540047,34,75,7.561025495097262,12.28,63.83,0.9119255574672585,34,75
1761798342.736228,req_wli7worm8,True,True,1,1,5.666412927450528,0.42,0.23,0.9249728757730771,2,8,5.666412927450528,0.42,0.23,0.9249728757730771,2,8
1761798342.7993522,req_peafei8vs,True,True,1,1,7.420316529432719,0.51,1.65,0.8376697116299688,6,11,7.420316529432719,0.51,1.65,0.8376697116299688,6,11
1761798342.844644,req_pudi1k9cv,True,True,3,2,30.7993494436403,0.16,0.45,0.8562265468378881,2,3,17.885071833647103,0.16,0.45,0.871763628733441,2,3
1761798342.898145,req_7wtbjr6sz,True,True,5,3,47.818028635238235,0.25,0.25,0.8050415900182524,3,8,28.33444766911183,0.25,0.25,0.8812745146026368,3,8
1761798342.935432,req_tsncg6mkq,True,True,1,1,9.79009573242578,2.22,6.57,0.8416058833359197,14,37,9.084245112325469,2.22,6.57,0.8632656410821233,14,37
1761798343.002038,req_qi47p73yt,True,True,1,1,11.99213480961252,2.5,7.51,0.7774648436309072,18,34,7.665154542141021,2.5,7.51,0.9085134710006674,18,34
1761798343.038626,req_vqamvb67s,True,True,1,1,3.7438771409307217,0.81,0.65,0.9562082288216471,5,14,3.7438771409307217,0.81,0.65,0.9562082288216471,5,14
1761798343.091646,req_lo7t9ut42,True,True,1,1,7.656657348408368,2.24,10.87,0.90879142685069,19,15,7.656657348408368,2.24,10.87,0.90879142685069,19,15
1761798343.147131,req_mhlwftuc3,True,True,3,3,29.100257412195354,2.44,5.24,0.86343705843825,11,23,28.616829463036346,2.44,5.24,0.8773880219239361,11,23
1761798343.2046988,req_pb8d33vsx,True,True,1,1,10.649534264701611,1.43,5.64,0.8159654761691864,14,29,9.705801213398288,1.43,5.64,0.844163701827753,14,29
1761798343.2429838,req_c9joyoh6t,True,True,4,3,39.301305947026876,0.17,0.1,0.8195851888992302,1,4,31.174106676158786,0.17,0.1,0.8397778577884398,1,4
1761798343.288694,req_fabrkbfoe,True,True,1,1,12.493664626514686,2.01,10.58,0.7635536207843834,34,27,9.054074757655805,2.01,10.58,0.8642037715573844,34,27
1761798343.820539,req_9grlvfx9k,True,True,2,2,17.72142696323196,1.38,14.91,0.8744796569251381,15,46,17.72142696323196,1.38,14.91,0.8744796569251381,15,46
1761798344.81706,req_lak593y7k,True,True,1,1,11.405790410272449,2.41,6.43,0.7940503117882985,18,40,9.57929087607081,2.41,6.43,0.8480171057331536,18,40
1761798345.827134,req_vhsc4buyu,True,True,4,3,29.125158370088872,0.43,0.44,0.8342994853507532,4,10,26.97376676094997,0.43,0.44,0.8357567257443768,4,10
1761798346.822596,req_e7n4nfb68,True,True,1,1,11.479217220557217,2.61,9.44,0.7919541185733319,15,40,5.862178330496823,2.61,9.44,0.9694383266390125,15,40
